"filename", "language", "TypeScript", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.controller.spec.ts", "TypeScript", -14, 0, 0, 0, -5, -19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.controller.ts", "TypeScript", -63, 0, 0, 0, -11, -74
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.dto.ts", "TypeScript", -57, 0, 0, 0, -15, -72
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.module.ts", "TypeScript", -11, 0, 0, 0, -2, -13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.service.spec.ts", "TypeScript", -14, 0, 0, 0, -5, -19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.service.ts", "TypeScript", -85, 0, 0, 0, -14, -99
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.controller.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.service.ts", "TypeScript", 0, 0, 0, 0, 2, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.controller.ts", "TypeScript", 6, 0, 0, 0, 0, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.dto.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.module.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.service.ts", "TypeScript", 39, 0, 0, 0, 2, 41
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/team_user/team_user.controller.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.controller.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.dto.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.service.ts", "TypeScript", 5, 0, 0, 0, 3, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user_layer.module.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user_login/user_login.dto.ts", "TypeScript", -1, 0, 0, 0, 1, 0
"Total", "-", 1600, -19, 2081, 39, 294, 3995
