"filename", "language", "TypeScript", "Handlebars", "JSON with Comments", "JavaScript", "JSON", "Properties", "Markdown", "Docker", "YAML", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy.entity.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy.entity.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy_rules.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy_rules.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_pool.entity.d.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_pool.entity.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 0, 65
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_source_types.entity.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_source_types.entity.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_state_descriptions.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_state_descriptions.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_states.entity.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_states.entity.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/leads.entity.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/leads.entity.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 0, 77
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/logs/audit_log.entity.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/logs/audit_log.entity.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 0, 53
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_board.entity.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_board.entity.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_delivery.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_delivery.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/migration/migration.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/migration/migration.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/note_delivery.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/note_delivery.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/notes.entity.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/notes.entity.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 0, 41
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notification_delivery.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notification_delivery.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notifications.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notifications.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/perms.enum.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/perms.enum.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 0, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/roles.enum.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/roles.enum.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 0, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports.entity.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports.entity.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 0, 41
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports_user.entity.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports_user.entity.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/permissions.entity.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/permissions.entity.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/role_permissions.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/role_permissions.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles.entity.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles.entity.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles_description.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles_description.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/settings/settings.entity.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/settings/settings.entity.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 0, 45
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/task/tasks.entity.d.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/task/tasks.entity.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 0, 57
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/teams/teams.entity.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/teams/teams.entity.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/team_user.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/team_user.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.d.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.js", "JavaScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 1, 0, 109
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_adress.entity.d.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_adress.entity.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 0, 49
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_contact.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_contact.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_documents.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_documents.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_login.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_login.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_performance.entity.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_performance.entity.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 0, 45
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_permissions.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_permissions.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_roles.entity.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_roles.entity.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_states.entity.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_states.entity.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/orm.config.d.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 67
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/orm.config.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 7, 0, 18
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.module.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.module.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 56
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.service.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.service.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 0, 63
